,description_x
1004,This documentary follows eight women in India who struggle with self-confidence and society's expectations but rediscover themselves through running.
1012,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends."
1013,"Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world."
1016,"Haunted by the suicide of a brother, a director and his kin walk across the U.K. in an emotionally trying, visually sublime journey toward healing."
1018,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
1019,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true."
1021,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story."
1023,"In this documentary, the director remembers a sister who left behind her life under Brazil’s dictatorship and moved to New York with dreams of acting."
1027,An aspiring pilot fights for her future – and justice – after surviving an acid attack from her abusive boyfriend.
1029,"An enigmatic conservative Christian group known as the Family wields enormous influence in Washington, D.C., in pursuit of its global ambitions."
1032,"When a woman is accused of killing her lover, a renowned lawyer is hired – but the more they try to  untangle the truth, the more convoluted it becomes."
1033,A rebellious daughter accompanies her mother on a medical mission where she falls for the handsome politician's son assigned to be her chaperone.
1035,"When a chemical plant's poor conditions cause tragedies, an employee leads a protest against the company’s callous owner and local politicians."
1036,"The relationship between a painter and his admirer unfolds as an abstract, twist-filled hide-and-seek game against the backdrop of murder and revenge."
1047,"Sex, stigma and spirituality merge in these eccentric stories of an angsty teenager, an unfaithful wife and a transgender woman returning to her past."
1049,"Pregnant and alone in the city of Kolkata, a woman begins a relentless search for her missing husband, only to find that nothing is what it seems."
1050,"After the brutal murders of their loved ones, three individuals share how they healed through forgiveness in this documentary presented by Aamir Khan."
1052,"A highly decorated ex-Marine sniper returns to action to foil an assassination plot targeting the president, but soon finds himself framed for murder."
1053,"A highly decorated ex-Marine sniper returns to action to foil an assassination plot targeting the president, but soon finds himself framed for murder."
1055,"On Chicago's South Side, hip-hop prodigy August Monroe navigates crippling anxiety and new creative frontiers with the help of an unlikely mentor."
1059,"In a near-future world where an oppressive regime segregates society, one woman skirts the system to search for the daughter taken from her years ago."
1069,"Once a year, men in a small town fear abduction by an eccentric female spirit. A young tailor dismisses the idea of the ghost – until he falls for her."
1072,"In three stories set in Northeast India, a child goes on the run, a young adult falls in with the wrong crowd and a desperate man turns to crime."
1079,"When his mother suffers a traumatic incident, a boy from the Mumbai slums treks to Delhi to deliver his written plea for justice to the Prime Minister."
1088,"An ex-assassin tries to leave her dark past behind until a power-hungry gang targets her and her family, forcing her to summon her killer instincts."
1092,"In this quiet, wistful drama, a woman on her deathbed searches her fraying memories for love and fulfillment through surreal, meditative tableaux."
1093,"Wanting his missing father to come home, a Kashmiri boy repeatedly attempts to call God for help – until one day, a hardened army officer picks up."
1096,"Fresh out of juvenile detention in Marseille, 17-year-old Zach falls for a young prostitute and soon faces a dire dilemma while working as a pimp."
1102,"Haunted by terrifying visions, a Muslim healer finds his faith tested when he helps a woman locked in battle, body and soul, with a diabolical leader."
1103,"At a 50-year-old house that served as a school, a brothel, and now a home, tales unfold of the residents who have lived there, longing for an escape."
1104,"Yearning for a lavish life abroad, an entitled, lazy sexist crafts a scam to ditch his thankless nursing job and find a wealthy spouse to secure a visa."
1108,"In a politically charged India of the 1970s, three friends are transformed by personal ideologies, dangerous ambitions and matters of the heart."
1109,"Juggling personal predicaments and workplace woes, three buddies and bandmates practice for their ultimate dream: winning a coveted music competition."
1111,"Mistreated by his cruel uncle, an imaginative orphan with autism sees hope when a fairy vows to change his life with a week of enchanted recipes."
1116,An exploration of different personas in an eclectic collection of four works by critically acclaimed Korean directors.
1117,"With the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult."
1120,"An affable, newly appointed college warden proves to be no ordinary man when an old enemy resurfaces and exposes his complicated, violent past."
1125,Shocking secrets begin to unravel when the aftermath of a car crash leaves four best friends questioning the truth of their relationships.
1127,"In early 1990s Malaysia, a Tamilian boy faces pressure from his immigrant father to focus on school but is drawn to his uncles’ lives of crime."
1130,A man returns home to Atlanta to try and turn around his family's struggling restaurant with the help of a new chicken recipe.
1137,"Social pressure, a complicated past and a clash of values beset the life of a businessman and his family."
1143,"A space-time continuum glitch allows Vera to save a boy's life 25 years earlier, but results in the loss of her daughter, whom she fights to get back."
1146,"In this unflinching biopic based on Mötley Crüe's best-selling book, four LA misfits navigate the monster highs and savage lows of music superstardom."
1154,Fifteen-year-old ballet dancer Lara faces physical and emotional hurdles as she prepares for gender confirmation surgery. Inspired by a true story.
1156,"While pursuing a degree in Spain, an architecture student struggling with grief meets a fellow expatriate trying to flee a difficult family life."
1159,"A dying father asks his busy and grown children to spend their Sundays with him, forcing his family to confront their issues before it's too late."
1168,"An architecture student and a history professor fall in love, pursue a dream, split up and bump into each other years later. Can there be a second chance?"
1169,"A devastating breakup with her boyfriend may be the start of a new beginning for Mace, thanks to an adventurous and kind stranger named Anthony."
1171,"After learning his brother died on a mission in Romania, a former soldier teams up with two allies to hunt down a mysterious enemy and exact revenge."
1173,"While patiently waiting for her boyfriend to come out of his coma, Audrey finds herself falling for the caring and successful Ethan."
1175,A ruthless businessman’s mission to expose electoral fraud brings him into a heated and dangerous political conflict with two corrupt ministers.
1176,A ruthless businessman’s mission to expose electoral fraud brings him into a heated and dangerous political conflict with two corrupt ministers.
1182,"Gab is eager to tie the knot with her handsome boyfriend, but there's a problem, and it's a doozy: She's already married to a total stranger."
1183,"When her son comes out to her as gay, a religious mother struggles to reconcile his truth with her own beliefs and their orthodox family values."
1184,"Four sisters unite to stop their young brother's pending nuptials upon meeting his fiancée’s demanding family, revealing long-simmering family issues."
1186,"To make another woman jealous, a campus heartthrob asks a fellow student to be his pretend girlfriend, but fate has other plans for the fake couple."
1190,"After he's diagnosed with terminal cancer, middle-aged Michael asks his neighbor friend Andy to help him end his life before the disease does."
1191,An older woman's unique friendship with a young boy inspires her to examine the strained relationship she shares with her married son.
1198,"Inspired by the movie ""Thelma & Louise,"" three young people with Down syndrome leave the institution where they live to take a road trip together."
1199,"While taking shelter from a Mumbai monsoon, an investment banker forms an unlikely connection with a naïve prostitute over the course of the night."
1201,"When a blind chef’s girlfriend goes missing, his unnerving search for her leads him to find there's more to her disappearance than what meets the eye."
1209,"After his teenage daughter goes missing, a widowed surgeon in an affluent neighborhood begins unearthing dark secrets about the people closest to him."
1210,"After his teenage daughter goes missing, a widowed surgeon in an affluent neighborhood begins unearthing dark secrets about the people closest to him."
1213,"When caste discrimination prevents a villager from giving his deceased father a rightful burial, he takes his fight for equality to court."
1214,"A teen navigates a bitter feud between his willful mom and a free-spirited man, who's the lover and insurance beneficiary of his recently deceased dad."
1218,"When Kak Limah turns up dead shortly after her marriage to a much younger man, her pesky ghost haunts the villagers, who can't seem to get rid of her."
1221,"In this heart-wrenching coming-of-age story, a young boy embarks on an arduous trek with his debt-ridden father to sell their beloved family donkey."
1222,"A deputy curator of a chaebol-funded art gallery and her husband, a politically ambitious economics professor, will do anything to join the über-elite."
1224,"This companion to 2016's ""Rudy Habibie"" traces the relationship between Indonesia’s third president and his wife behind the scenes of their public lives."
1225,"Reeling from the loss of her husband, a widow struggles to fulfill her physical and emotional desires despite social taboos around female sexuality."
1226,"After saving an unwed expectant mother who's injured in a car accident, a happily married man takes her as his second wife – without telling his first."
1227,"In this sequel to the award-winning 2015 film, Pras, Arini and Meirose face new challenges that could change the dynamic of their unique love triangle."
1232,"In a peaceful, rustic town, a retired officer and his family are mired in a murder mystery riddled with shocking, buried secrets."
1234,"While fighting crimes against women in Delhi, a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives."
1251,"In a remote area of the Canary Islands, a surfer falls off a cliff. Fighting to survive, he reflects on his life and past romance. Based on true events."
1254,"As the lives of rich and poor passengers aboard a steamship unfold, buried secrets, lustful affairs and selfish desires are exposed."
1259,"In southern India, a laborer's dreams of owning a piece of land to farm is complicated by political corruption."
1261,"A traditional man and an independent woman share a connection, but they must learn to navigate their vastly different experiences and expectations."
1267,"Tasked with risky missions across Turkey, members of a special-operations police unit confront danger and tragedy both on the field and at home."
1268,"Tasked with risky missions across Turkey, members of a special-operations police unit confront danger and tragedy both on the field and at home."
1274,A visually impaired pianist’s world careens into a series of shocking twists after he unintentionally lands at the murder scene of a former film star.
1280,"A gangster hires goon Teefa to abduct his friend’s daughter for an arranged marriage, but things get tricky when Teefa develops feelings for the girl."
1282,A contract killer skilled at staging lethal accidents fears he may be a victim of his own strategy when an accomplice dies in a mysterious mishap.
1287,"When a man is arrested on arrival in America because authorities mistake him for a wanted gangster, a new friend tries to help him prove his innocence."
1289,"Retired, restless and constantly butting heads with his son, a former stuntman escapes on a road trip that becomes a journey to find his first love."
1290,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades."
1291,The controversial and troubled Indo-Pakistani writer Saadat Hasan Manto finds his artistic choices challenged by censors.
1292,The controversial and troubled Indo-Pakistani writer Saadat Hasan Manto finds his artistic choices challenged by censors.
1298,A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to summon her late mother's spirit using a spooky ritual.
1306,"Up against a corrupt government official and crushing poverty, a young boy in the Delhi slums attempts to raise funds to build himself his own toilet."
1311,A war veteran plagued by guilt over his final mission teams up with his best friend's widow to infiltrate a dangerous Copenhagen biker gang.
1316,"In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order."
1317,This animated retelling of the classic Indian tale of Prince Arjun – part of the Sanskrit epic Mahabharata – begins during the prince's youth.
1318,"When a dispute breaks out between five siblings over their mother’s property, one devoted son will go to any lengths to protect her land."
1319,"Years after rejecting Barfii, a hearing and speech impaired young man, for a more ""appropriate"" suitor, Shruti finds herself falling for him."
1324,"A struggling math teacher holds down a second job to keep his family afloat. But when he receives a wedding invitation, he's determined to attend."
1327,"Anticipating the next move in a serial killer's grisly game, a police chief realizes that his daughter and estranged wife are the next likely victims."
1335,"Cheenu dreams of resurrecting the restaurant he has inherited to its former glory, but his brother, a compulsive gambler, loses the place to a cop."
1337,"A moving portrayal of the 2006 train bombings in Mumbai, this Indian drama follows the interconnected stories of several strangers."
1338,This thriller tells the true story of model Jessica Lall – who was shot dead in a restaurant – and the campaign to bring her killer to justice.
1339,"Starting as a petty thief, a man rises to become one of the city's biggest operators and carves out the kind of lifestyle he'd once only dreamed of."
1340,Paan Singh Tomar goes from celebrated runner to star brigand and rebel when life after sports fails to unfold as planned.
1345,"An educated man assists the illiterate residents of his village with written correspondence, sometimes manipulating the letters to suit his interests."
1348,Flashbacks reveal Gen. Antonio Luna's tireless fight for Filipino independence from the U.S. and his leadership in the Philippine-American War in 1899.
1353,"A father leading a dark double life and his daughter, who's eager to pursue her studies in Hyderabad, face the tragic consequences of sex trafficking."
1355,"From the depths of addiction to the heights of stardom to underworld entanglements, this biopic traces the checkered past of Indian actor Sanjay Dutt."
1356,This biopic on former Indian field hockey player Sandeep Singh follows the athlete’s hard-fought comeback after an accidental gunshot left him paralyzed.
1359,"Thom tells her grandson about his grandfather, a sailor who left 61 years ago to seek his fortune, and asks him to find out what happened to her spouse."
1362,"Struggling to conceive, a couple in their 40s are almost out of options – until a sliver of hope arrives in the form of their visiting step-niece."
1363,"After being exiled to England as a child, a Punjabi prince struggles to return to his homeland and his Sikh faith in this historical drama."
1369,"Because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths."
1372,"When a man discovers that he can communicate with his grandfather's spirit, it leads to two love stories intertwining 50 years apart."
1376,"Shinda loves Laali but can't have her, so he and his friends come up with an elaborate plan to solve all their problems and win her."
1377,"Framed by a politician for committing murder, a lower-class boy hires the only counsel he can afford: a lawyer with no courtroom experience."
1378,"A young man pursues his dreams of wealth by breaking the law, while his twin brother tries to better his life through hard work and honesty."
1389,"After declaring that he's going to film himself committing suicide for a school project, Archie videotapes reactions from friends and family."
1390,"After his sleeping disorder hinders him from protecting his girlfriend, a man sets out to take revenge on the thugs who attacked her."
1396,India's primary intelligence agency sends an enigmatic operative on a top-secret mission to avenge the 11/26 terrorist attack on Mumbai.
1399,A pizza delivery boy who doesn't believe in the supernatural is forced to confront his convictions after being trapped in a house on his route.
1405,"Imprisoned for drug smuggling as a child, a young man uses the law he studied while in jail to take revenge on those who wronged him."
1407,"Upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his father's plans for his future."
1409,A spoiled trust fund brat finds himself stuck in a rut of meaningless late-night parties – until he meets a significantly older woman and writer.
1413,"A blind pianist fears for her life after the suspicious death of her neighbor, the daughter of a businessman accused of war crimes."
1419,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.
1422,"On the verge of losing his business, an entrepreneur launches a carbon tax scam that thrusts him into a web of criminals, intrigue and murder."
1425,"A sexually inexperienced rickshaw driver struggles to build intimacy with his shy new wife in their tiny, overcrowded quarters."
1426,"After a chance phone call leads to daily conversations, a widowed restaurant owner and a lonely film actor plan to finally meet in person."
1430,"After reluctantly joining a dating app, a 35-year-old widow accompanies an easygoing poet on a trip to visit three of his exes."
1431,"When an Intelligence Bureau officer’s phone-tapping day job leads him to a serial killer, he must track down and thwart the murderer’s next steps."
1433,"When she falls in love with the author of a novel she adores, bohemian Bitti enlists the help of a local printer to find her new object of affection."
1434,"A detective arrests a doctor for crimes targeting medical professionals but later finds the real culprit in a tale of revenge, corruption and magic."
1436,"After her stepdaughter is sexually assaulted at a party, a furious mother sets out to destroy the lives of the four perpetrators who walked away free."
1437,"When his best friend is killed for uncovering political corruption, an idealistic young man decides to become a masked fighter for justice."
1438,A software engineer must decide if he'd rather navigate America's frustrating visa renewal process or simply return to his home country of India.
1441,"A policewoman whose childhood friend disappeared in Patagonia years ago starts a new search to find answers, and soon finds her own life in danger."
1442,"Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences."
1446,"Eight feisty boys befriend young drifter Fatka. When a mean politician threatens Fatka's way of life, the boys band together in honor of their pal."
1447,A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds there's a price for her glamorous new life.
1450,"After an onstage disaster leaves an illusionist paralyzed, he channels his magic into a hit radio show. Years later, he fights for the right to die."
1451,Shahid Kapoor delivers a searing performance in this Bollywood take on Hamlet that unfolds amid Kashmiri culture and history.
1452,"City girl Veera is kidnapped on the eve of her wedding, but as her captors take her through the countryside, Veera finds herself feeling emancipated."
1453,"City girl Veera is kidnapped on the eve of her wedding, but as her captors take her through the countryside, Veera finds herself feeling emancipated."
1457,A remote village situated neither in India or Pakistan becomes its own republic after inmates at the local mental asylum bust loose and take over.
1458,A remote village situated neither in India or Pakistan becomes its own republic after inmates at the local mental asylum bust loose and take over.
1460,"When the American-educated scion of a powerful Indian family returns to the subcontinent, his first taste of power starts him down a corrupt path."
1461,An idealistic English filmmaker casts a group of student actors in her docudrama about India's revolution against British rule in the 1920s.
1463,"Meeting while on vacation, Ved and Tara sense a connection but vow to keep their real identities a secret. Years later, their paths cross again."
1466,"A charming allegory based on a novella by Ruskin Bond, this visually stunning film from India explores themes of greed, loneliness, longing and loss."
1474,This eye-opening look at the fast-growing medical device industry reveals how the rush to innovate can lead to devastating consequences for patients.
1475,"A dedicated government official puts his career in jeopardy by insisting that India become a nuclear power, a goal that powerful forces resist."
1484,"Priya and Raj are polar opposites. Raj is brash and earthy, while Pirya is sophisticated and something of a perfectionist in all she does. They really are like oil and water, but nonetheless, they dare to fall in love."
1487,An intelligent boy born into poverty befriends the son of a once noble family and is inspired by the life of India's president to pursue an education.
1494,"With her dad away, Mavis is so ready for adventure – if strict Aunt Lydia doesn't stop her first. Set four years before the ""Hotel Transylvania"" film."
1498,"After surviving a bomb attack, two low-level mobsters in Jerusalem change their ways and set about making strangers' Wailing Wall prayers come true."
1499,"After surviving a bomb attack, two low-level mobsters in Jerusalem change their ways and set about making strangers' Wailing Wall prayers come true."
1522,"A young man in Kerala has two weeks to stop the woman he loves from a fixed marriage in the U.S., but he doesn't have the papers to get there."
1525,"With his vivid imagination, Simon the rabbit searches for fun while learning about the importance of responsibility and communication."
1528,"A Bihari migrant runs a successful service to help couples elope, until the daughter of his former boss stirs the pot."
1532,"After he's recruited to an elite prep school, a 14-year-old basketball phenom is confronted by corruption and greed in amateur sports."
1535,"Searching for the woman promised to him by Aphrodite, herdsman Paris learns his true identity and falls for Helen of Sparta, igniting the Trojan War."
1537,"A homemaker and a writer are prime suspects – and the only witnesses – in a double murder, and it’s up to one detective to uncover the elusive truth."
1538,"A homemaker and a writer are prime suspects – and the only witnesses – in a double murder, and it’s up to one detective to uncover the elusive truth."
1544,Major Ram Prasad Sharma yearns to see project Mission Milaap come to fruition and usher in an era of peace between two warring countries. But the evil Raghavan will do anything to stop the peace process.
1546,"Disgusted by the gold-chain snatchers in his home city of Chennai, a man vows to combat the criminal menace by taking the law into his own hands."
1548,Traditional Indian folklore comes alive in this charming film based on a story by Statwart Vijaydan Detha.
1549,"In this Bollywood entertainment, two journalists, Ajay and Ria, work for rival TV stations and compete heavily to mask their feelings for each other."
1553,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.
1554,"After their latest jail stint, boozy pals Julian, Bubbles and Ricky plan to go legit but learn trailer park manager Jim aims to demolish their homes."
1555,"In this feature-length adventure, Ricky, Julian and Bubbles – just out of jail – plan the lamest scheme yet: to get rich by stealing tons of change."
1563,"In the wake of a sudden tragedy, a London cellist unearths secrets that link her mother to the disappearance of a young girl in a small Welsh town."
1564,"In the wake of a sudden tragedy, a London cellist unearths secrets that link her mother to the disappearance of a young girl in a small Welsh town."
1567,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.
1569,"When a young woman with amnesia becomes a key figure in a missing persons case, she must reconstruct her memories to clear her name."
1570,"Investigating the murder of a pizza delivery man, a London detective uncovers a tangled conspiracy involving drug dealers, smugglers and spies."
1571,"An American soldier imprisoned in postwar Japan enters the dark world of the yakuza, adopting their way of life in repayment for his freedom."
1578,Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey.
1579,Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey.
1580,Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey.
1581,Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey.
1584,"As her own wedding looms on the horizon, a marriage counselor strives to save her future in-laws' crumbling relationship."
1586,"When their Sunday soccer game on the beach is canceled, five friends set out to find another place to play in the noisy, crowded city of Mumbai."
1587,"An accident on a bridge ties together three young men from different social classes, sparking a course of events that will forever alter their lives."
1589,"In 1991 Madrid, after holding a séance at school, a teen girl minding her younger siblings at home suspects an evil force has entered their apartment."
1594,"When his abducted brother returns seemingly a different man with no memory of the past 19 days, Jin-seok chases after the truth behind the kidnapping."
1603,"A desperate group of refugees attempts to recolonize Earth 20,000 years after Godzilla took over. But one young man wants revenge above all else."
1610,"In this Hindi version of ""Aval,"" a young couple's relationship is shaken to its core when a mysterious and troubled family moves into the neighborhood."
1617,A young Senegalese-French man from humble roots sets out to climb Mount Everest to impress the woman he loves – and slowly becomes a media sensation.
1623,A young man and his parents ponder the reasons behind the recent breakdown of a relationship he was in – and the possibility of reconciliation.
1625,Teens of Korean descent who were born and raised in other countries travel to Seoul to learn about their cultural heritage at a summer camp in 1986.
1627,"When a mysterious woman hires Shankar to spy on a family, he must determine how his own father's abandonment figures into the situation."
1629,"When Shankar, who performs on the road with partner Chanchal and elephant Appu, falls for a Russian circus performer, jealousies and conflicts arise."
1639,"Two Mississippi families – one black, one white – confront the brutal realities of prejudice, farming and friendship in a divided World War II era."
1642,"In lawless badlands, reclusive Cabeleira sets out to discover the fate of his gunman father and grows to be a feared assassin himself."
1650,"Spanning 30 years, a group of dedicated and diverse friends experiences happiness and hardship in a newly independent Singapore."
1651,"Spanning 30 years, a group of dedicated and diverse friends experiences happiness and hardship in a newly independent Singapore."
1655,"Years after the Civil War, a bounty hunter and his captive are waylaid by a Wyoming blizzard and hole up in a way station with six dicey strangers."
1656,"Trapped by a mysterious fog, residents of a Maine village discover that it hides nightmarish creatures. A new series based on Stephen King's novella."
1662,"After being wrongfully convicted of fraud, an honest man finds that life in prison comes with a measure of freedom that is unavailable outside."
1676,"After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets."
1679,"Light Turner finds a supernatural notebook and uses it to mete out death, attracting the attention of a detective, a demon and a girl in his class."
1683,"A self-described outsider is sent to a rugby-obsessed boarding school, where he forms an unexpected bond with the star player."
1687,"Young Laura and Carlos experience the intensity and fragility of first love, as life realities gradually tarnish their idealized notions of romance."
1694,"After losing her family in a suspicious car crash, a woman awakens from a 13-year coma determined to expose the truth about the long-ago tragedy."
1696,A woman from a small mountain village disobeys her village elders and sets out for the big city in search of her missing husband.
1697,A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.
1700,Therapist Jean Holloway develops dangerous and intimate relationships with the people in her patients' lives in this simmering psychological thriller.
1701,"A gentle giant and the girl who raised her are caught in the crossfire between animal activism, corporate greed and scientific ethics."
1704,A once-promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the Commonwealth Games.
1705,"Amid the turmoil of 1960s LA, two cops and a prominent political family are drawn into the sex- and drug-fueled web of a young Charles Manson."
1713,"Addicted to webcams and voyeurism, a married man gets more than he bargained for when an online stranger tries to force him to watch a suicide."
1716,"With the help of a cop, a psychologist and a woman who can foretell the future, a brilliant paralegal works to solve an array of perplexing mysteries."
1721,"During World War II, daredevil star Miss Julia entertains soldiers at the Indo-Burma border, where she's caught up in a web of love and deceit."
1722,"When the black sheep son of a respected family threatens to expose dark secrets from their past, sibling loyalties are put to the test."
1729,"After street smart kid Raees rises to become Gujarat's bootlegging king in the 1980s, he tries to balance his life of crime with helping his people."
1732,"A village schoolteacher and the ghost of a murdered man, who were both betrayed by those closest to them, join forces to help each other."
1733,A dreamer falls for a girl who is in love with someone else and tries to create a rift between her and the man she loves.
1738,"When his new love is captured by an evil snake charmer, a young cobra and his scorpion best friend set out across the desert on a wild rescue mission."
1747,A young cinematographer with a bright professional future and a lack of empathy learns the importance of balancing ambition with humanity.
1750,"Teen father-to-be Sam imagines his future as a young parent and finds a surprising mentor while reading about his idol, pro skateboarder Tony Hawk."
1752,"Teen father-to-be Sam imagines his future as a young parent and finds a surprising mentor while reading about his idol, pro skateboarder Tony Hawk."
1763,"Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers."
1766,Growing up poses challenges for Chinu when he moves from city to country and encounters a youth culture far different from what he's used to.
1769,"Deformed, disfigured characters must find a way to deal with society shunning their differences in this darkly comic social drama."
1772,"When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster."
1773,This elaborate Bollywood epic dramatizes one man's transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism.
1775,"When a cabbie chances upon his childhood sweetheart, he tries to rekindle old feelings but finds that mature love is a more complicated matter."
1791,"A sexual assault victim, unjustly tried for the attempted murder of her attacker, is defended by a retired lawyer who challenges India's rape culture."
1792,"DJ Ickarus is at the top of his game, dazzling fans and touring the world – until he gets locked in the loony bin after taking a few too many drugs."
1798,"Drug abuse and the darker side of Punjab rear their heads in the intense, interwoven tales of a cop, a doctor, a migrant worker and a rock star."
1803,"In the wake of World War II, 11 Allied judges are tasked with weighing the fates of Japanese war criminals in a tense international trial."
1804,"This documentary series reconstructs history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals."
1811,"Two former high school sweethearts unexpectedly reunite in their old hometown, where they rediscover their magical bond and face a shared regret."
1814,"An unemployed Bollywood session violinist in Mumbai finally lands a small gig, but it's what happens on his way home that proves truly transformative."
1819,A shrewd teenager and her wisecracking best friend plan to get rich or die trying by following in the footsteps of a flashy female drug dealer.
1827,"A passionate pianist and a soulful puzzle maker who treasures silence aren't the best neighbors, but things get interesting when they start to date."
1830,"They were the boy band to beat until fame tore them apart. Ten years later, five friends and an ex-love reunite and find themselves closer than ever."
1834,Carefree college student Vicente ends up in a desperate fight for freedom when a well-connected friend falsely accuses him of a hit-and-run accident.
1835,Carefree college student Vicente ends up in a desperate fight for freedom when a well-connected friend falsely accuses him of a hit-and-run accident.
1848,"Set in a world of greed, betrayal, sexual intrigue and rivalry, “Marco Polo” is based on the famed explorer’s adventures in Kublai Khan’s court."
1850,"Martial arts master Ip springs into action when his son's school is threatened by a shady American, then defends his status as wing chun champion."
1857,"An occupying Japanese general challenges Chinese men to duels to prove the superiority of the Japanese, but Ip Man refuses to fight – at first."
1858,"New in Hong Kong, martial arts instructor Ip Man perseveres and retaliates against his rivals' opposition to the Wing Chun fighting style he teaches."
1863,"When civil war tears his family apart, a young West African boy is forced to join a unit of mercenary fighters and transform into a child soldier."
1872,"This Emmy-winning, street-level view of the 2011 Egyptian Revolution captures the astonishing uprising that led to the collapse of two governments."
1873,"The greatest fairy tale never told comes to life in this colorful, song-filled, Tony Award-winning Broadway production based on the hit movie."
1874,"In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group."
1875,"In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group."
1886,"A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them."
1888,A young novelist's life is turned upside down when a chance encounter outside a New York hotel leads to an intense affair with a diplomat's wife.
1893,The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.
1894,"After his wife's death, an overworked engineer struggles to care for his son with autism, who regresses into a fantasy world to escape real-life bullying."
1904,"After receiving an anonymous tip about a bomb, a police commissioner must negotiate with the terrorist, who demands the release of four militants."
1907,"When Shaji Pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition."
1909,"When he learns he has terminal cancer, a cynical gambler and chronic smoker ditches his fiancée, snubs doctors and checks into a nursing home to die."
1914,"An American girl and a British lad fall in love amid the social and political upheaval of the 1960s, in this musical featuring songs by the Beatles."
1920,"An American tourist and his friends are partying in Chile, but a major earthquake devastates the area and forces them to scramble for survival."
1922,"Stood up by her groom at the altar, a young woman finds help and healing from another man – until her ex-fiancé returns, hoping to win her back."
1923,A happily married business executive is forced to deal with an episode from his past that he had long thought was put behind him.
1932,"Abandoned in a park by their father, Amar, Akbar and Anthony grow up independently and have no knowledge of one another. They're reunited as adults when, by coincidence, they all give blood at the same hospital."
1935,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends."
1937,A neo-Nazi gets sent to prison for murder and comes out a changed man. But can he prevent his younger brother from following in his footsteps?
1939,"With chiseled good looks that belie his insanity, a businessman takes pathological pride in yuppie pursuits and indulges in sudden homicidal urges."
1941,Rare home videos and interviews with Amy Winehouse's inner circle offer an intimate look at her journey from charismatic teen to troubled star.
1947,"A photographer invites a close-knit group of female pals to her Goa home to announce her engagement, which stirs up a riot of emotion in all of them."
1950,"Problems big and small pop up when Scott Lang, aka Ant-Man, gets drafted by Dr. Hank Pym and Hope van Dyne, aka the Wasp, for an urgent rescue mission."
1952,"Seeking refuge in a Hindu temple after the tragic death of the girl he loved, a Muslim youth is caught by the police, who mistake him for an enemy."
1959,Superheroes amass to stop intergalactic sociopath Thanos from acquiring a full set of Infinity Stones and wiping out half of all life in the universe.
1963,"When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries."
1967,"Haunted by visions of the dead, psychologist Peter returns home to confront a long-ago trauma. But will the trip exorcise or embolden the ghosts?"
